task,model,prec,rec,F1
ds13,mc.rf_SMOTEB,0.5736662468053827,0.5702731428493188,0.5711668012041904
ds13,mc.rf_SMOTET,0.5382396266271648,0.5777620722850747,0.5568068986235055
ds13,mc.rf_SMOTETPhi,0.5410860321204368,0.5907213735767102,0.5643084849614486
ds13,mc.rpart,0.5423084457366485,0.4951046023961318,0.5166889916163386
ds13,mc.rpart_UNDERB,0.4510838583597188,0.5635426974652167,0.5000998705360277
ds13,mc.rpart_UNDERT,0.46157554975463116,0.5780474624504374,0.5125497455180179
ds13,mc.rpart_UNDERTPhi,0.44772421131524526,0.5820738318941558,0.5053492453628238
ds13,mc.rpart_OVERB,0.48020607181152497,0.49695669317105456,0.4881595677562784
ds13,mc.rpart_OVERT,0.46469935661759726,0.47813180096253033,0.4710200713230693
ds13,mc.rpart_OVERTPhi,0.46237225167890467,0.47849404277826174,0.46985685113452064
ds13,mc.rpart_SMOTEB,0.4457653189749243,0.568621942762103,0.49914308312048516
ds13,mc.rpart_SMOTET,0.44944843813846197,0.5766999061495323,0.5048491647774558
ds13,mc.rpart_SMOTETPhi,0.4455043100761871,0.6001106835699143,0.5109206608012511
ds13,mc.arima,0.5783344954193705,0.5067094978812484,0.5212688412364427
ds13,mc.BDES,1e-05,0.5065906535756687,1.999960512675969e-05
ds14,mc.lm,1e-05,0.3804369567418516,1.9999474105507917e-05
ds14,mc.lm_UNDERB,0.3347208541572624,0.37969779488841127,0.3312179280869042
ds14,mc.lm_UNDERT,0.35728950101856616,0.3827244833132316,0.3524929987841395
ds14,mc.lm_UNDERTPhi,0.34873888701658806,0.3884796457860857,0.34430416918826157
ds14,mc.lm_OVERB,0.3847480494753851,0.3870286484507916,0.36269448943556015
ds14,mc.lm_OVERT,0.3834753953511242,0.3861323278836217,0.36411785429481397
ds14,mc.lm_OVERTPhi,0.39394336583372663,0.3834004880940689,0.37265787201888395
ds14,mc.lm_SMOTEB,0.33480274911417196,0.40010271112061224,0.3548607524257447
ds14,mc.lm_SMOTET,0.32856046136161304,0.38082849194673607,0.3514373804539177
ds14,mc.lm_SMOTETPhi,0.328211985465223,0.38890367882244087,0.35464049985069906
ds14,mc.svm,0.21497398141090904,0.3852125172820617,0.22175680950571905
ds14,mc.svm_UNDERB,0.33117409544589466,0.3931964969340315,0.35801372030921924
ds14,mc.svm_UNDERT,0.3230408016262934,0.3959418268332876,0.3541275207966411
ds14,mc.svm_UNDERTPhi,0.3121055519541169,0.39893397353350407,0.34811200650393753
ds14,mc.svm_OVERB,0.3177294333323037,0.3855504810850626,0.3470373222168041
ds14,mc.svm_OVERT,0.32661456457394367,0.38857181144180847,0.35255169570638034
ds14,mc.svm_OVERTPhi,0.31880998090343926,0.3894185945656797,0.3492763614163257
ds14,mc.svm_SMOTEB,0.3260057811999531,0.4039391770403564,0.35951277609307913
ds14,mc.svm_SMOTET,0.2985750470114123,0.3716866063808431,0.32963264540140536
ds14,mc.svm_SMOTETPhi,0.29803763080356194,0.3989054739823717,0.3398613309807424
ds14,mc.mars,0.2235015024772627,0.4001316225527962,0.22574178513704254
