workflow,model_family,strategy,variant_index,cost,gamma,un,ov,prec,rec,F1
mc.svm_SMOTEB35,svm,SMOTEB,35.0,150.0,0.001,0.8,2.0,0.361094695753438,0.460394647745059,0.475350969387193
mc.svm_SMOTEB36,svm,SMOTEB,36.0,300.0,0.001,0.8,2.0,0.408002448257452,0.463334477272766,0.490907709521763
mc.svm_SMOTEB37,svm,SMOTEB,37.0,10.0,0.01,0.05,3.0,0.452482415992373,0.534674087757229,0.486758552829029
mc.svm_SMOTEB38,svm,SMOTEB,38.0,150.0,0.01,0.05,3.0,0.39737600468611,0.543991082935638,0.471449830417136
mc.svm_SMOTEB39,svm,SMOTEB,39.0,300.0,0.01,0.05,3.0,0.379200193418067,0.534253288173981,0.451777471089529
mc.svm_SMOTEB40,svm,SMOTEB,40.0,10.0,0.001,0.05,3.0,0.458375936468411,0.470614268135582,0.468691993710256
mc.svm_SMOTEB41,svm,SMOTEB,41.0,150.0,0.001,0.05,3.0,0.453259661397792,0.507106759958237,0.472661198231397
mc.svm_SMOTEB42,svm,SMOTEB,42.0,300.0,0.001,0.05,3.0,0.455828096187091,0.521188727184495,0.48407339825192
mc.svm_SMOTEB43,svm,SMOTEB,43.0,10.0,0.01,0.1,3.0,0.466549273342586,0.527929686579502,0.495729889000529
mc.svm_SMOTEB44,svm,SMOTEB,44.0,150.0,0.01,0.1,3.0,0.399847060860318,0.526506891046597,0.456093155843478
mc.svm_SMOTEB45,svm,SMOTEB,45.0,300.0,0.01,0.1,3.0,0.377290568060545,0.516689234548991,0.429262283739795
mc.svm_SMOTEB46,svm,SMOTEB,46.0,10.0,0.001,0.1,3.0,0.456168839793453,0.47403311661718,0.466519438829819
mc.svm_SMOTEB47,svm,SMOTEB,47.0,150.0,0.001,0.1,3.0,0.465962961493787,0.504994098298108,0.488354962250276
